xc_id,scientific_name,common_name_id,common_name_en,country,location,quality,sound_type,recordist,date,duration,xc_url,license_type,license_url,file_available,selection_status,selection_reason
XC942394,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Taman Alam, Kuala Selangor",A,"call, song",Joost van Bruggen,2024-09-03,0:15,https://xeno-canto.org/942394,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC937966,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Bike and Tours Bed and Breakfast (near  Lahad Datu), Bahagian Tawau, Sabah",A,song,Joost van Bruggen,2024-08-24,0:47,https://xeno-canto.org/937966,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC871888,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Wat Chalo (near  Tambon Bang Kruai), Amphoe Bang Kruai, Chang Wat Nonthaburi",A,song,Sam Hambly,2024-02-09,0:17,https://xeno-canto.org/871888,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC848443,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Sekinchan, Selangor",A,song,Lim Ying Hien,2022-05-28,0:13,https://xeno-canto.org/848443,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844747,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Ko Kret (near  Tambon Ko Kret), Amphoe Pak Kret, Chang Wat Nonthaburi",A,song,Sam Hambly,2023-11-30,0:04,https://xeno-canto.org/844747,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844626,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",A,song,Sam Hambly,2023-11-29,0:04,https://xeno-canto.org/844626,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC830485,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,call,Simon Elliott,2023-09-15,0:12,https://xeno-canto.org/830485,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC830484,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,call,Simon Elliott,2023-09-15,0:16,https://xeno-canto.org/830484,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC830483,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,song,Simon Elliott,2023-09-15,0:14,https://xeno-canto.org/830483,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788771,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",A,song,Romuald Mikusek,2023-02-06,0:14,https://xeno-canto.org/788771,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC784604,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Petchaburi, Kaeng Krachan, Kum Nang Phaya Resort and environment",A,song,Stephan Risch,2023-02-07,0:16,https://xeno-canto.org/784604,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC783712,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Cha-am Forest Park,A,song,Stephan Risch,2023-02-05,0:33,https://xeno-canto.org/783712,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC618483,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"SS 22, Petaling Jaya, Selangor",A,"begging call, call",Salocin.TEN,2021-01-29,0:40,https://xeno-canto.org/618483,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC616403,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Lam Pho, Amphoe Bang Bua Thong, Chang Wat Nonthaburi",A,uncertain,Thaibirdspot,2021-01-20,0:11,https://xeno-canto.org/616403,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC598171,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Lampang, Mueang Lampang District, Lampang",A,song,Somkiat Pakapinyo (Chai),2020-07-09,0:33,https://xeno-canto.org/598171,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC589483,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"Mahé, Baie Lazare",A,song,Simon Elliott,2018-09-19,0:31,https://xeno-canto.org/589483,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC588080,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Flic en Flac, Rivière Noire District",A,call,Simon Elliott,2016-10-09,0:03,https://xeno-canto.org/588080,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207922,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-16,1:10,https://xeno-canto.org/207922,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207921,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-16,0:58,https://xeno-canto.org/207921,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC207911,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-09,0:11,https://xeno-canto.org/207911,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203391,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:56,https://xeno-canto.org/203391,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203373,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:57,https://xeno-canto.org/203373,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203370,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,1:22,https://xeno-canto.org/203370,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC203367,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,2:12,https://xeno-canto.org/203367,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203366,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:53,https://xeno-canto.org/203366,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203357,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:10,https://xeno-canto.org/203357,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203351,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song, wings clapping",Albert Lastukhin,2014-11-18,0:59,https://xeno-canto.org/203351,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC199207,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Port Louis, Port Louis, Port Louis",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-10-17,0:41,https://xeno-canto.org/199207,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC199206,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Port Louis, Port Louis, Port Louis",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-10-17,0:57,https://xeno-canto.org/199206,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1080637,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Satay by the Bay, Singapore",B,song,Joan Theng,2026-02-15,0:00,https://xeno-canto.org/1080637,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1075196,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Kotamobagu urban areas, Kota Kotamobagu, Sulawesi Utara",B,song,Richard E. Webster,2025-11-24,2:42,https://xeno-canto.org/1075196,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1048463,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur",B,song,Michael John O Mahony,2025-10-14,0:15,https://xeno-canto.org/1048463,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1047135,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Makham, Makham District, Chanthaburi",B,song,Albert Noorlander,2025-10-12,1:05,https://xeno-canto.org/1047135,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC983157,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,"Sambuor Meas (near  Phnom Penh), Moukh Kampoul, Phnom Penh",B,song,Ding Li Yong,2025-03-11,0:15,https://xeno-canto.org/983157,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC973127,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,BirdLife International (Asia) Office,B,subsong,Ding Li Yong,2025-02-13,1:16,https://xeno-canto.org/973127,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC973067,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Huay Chorakhe Mak NHA, Tambon Sakae Phrong, Amphoe Mueang Buri Ram, Chang Wat Buri Ram",B,song,Greg Irving,2025-02-12,0:34,https://xeno-canto.org/973067,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC936889,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,song,Greg Irving,2024-09-30,0:21,https://xeno-canto.org/936889,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC936403,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,song,Greg Irving,2024-09-28,1:42,https://xeno-canto.org/936403,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC918374,Geopelia striata,Perkutut Jawa,Zebra Dove,France,"Sainte Suzanne, Canton de Saint-André-1, Saint-Denis",B,,Grégoire Chauvot,2020-03-12,0:40,https://xeno-canto.org/918374,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC904166,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Ban Vatnak, Vientiane Prefecture",B,song,Bram Piot,2024-05-15,0:28,https://xeno-canto.org/904166,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC861442,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Nong Pen, Vientiane Prefecture",B,song,Bram Piot,2024-01-12,2:00,https://xeno-canto.org/861442,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844118,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Suthep (near  Chiang Mai), Mueang Chiang Mai District, Chiang Mai",B,song,FREDERIC Lionel,2023-11-11,0:23,https://xeno-canto.org/844118,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC828507,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Nong Khamsen wetland, Vientiane Prefecture",B,song,Bram Piot,2023-09-10,0:26,https://xeno-canto.org/828507,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC797139,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Pha Chang Park, Wiang Chai District, Chiang Rai",B,song,Greg Irving,2023-04-29,1:02,https://xeno-canto.org/797139,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788414,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,song,Romuald Mikusek,2023-02-06,0:02,https://xeno-canto.org/788414,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788244,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Benchakiti Park in Bangkok,B,song,Stephan Risch,2023-02-03,0:15,https://xeno-canto.org/788244,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC787535,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,Kim Chuah Lim,2023-03-19,0:19,https://xeno-canto.org/787535,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC787534,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,Kim Chuah Lim,2023-03-19,0:24,https://xeno-canto.org/787534,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC782724,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Jurong Lake Gardens, Singapore",B,song,Kim Chuah Lim,2023-02-26,1:01,https://xeno-canto.org/782724,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC779114,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Nai Yang Beach National Park,B,"song, Air conditioner",nick talbot,2023-01-22,0:15,https://xeno-canto.org/779114,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC764718,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,James Lambert,2022-07-17,0:54,https://xeno-canto.org/764718,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC756428,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Jurong Lake Gardens, Singapore",B,wing beats,Okamoto Keita Sin,2021-10-08,0:03,https://xeno-canto.org/756428,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC748014,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,song,Wonseok Jang,2022-08-04,0:31,https://xeno-canto.org/748014,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC713711,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"La Passe, La Digue",B,song,Alexander Schlatmann,2022-02-20,0:05,https://xeno-canto.org/713711,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC685690,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Peninsular Malaysia (near  Klang), Selangor",B,"call, guttural call for nesting",SARAVANAN PALANISAMY,2021-10-27,0:01,https://xeno-canto.org/685690,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC665873,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,Bahtera Track,B,call,Kim Chuah Lim,2021-07-31,0:45,https://xeno-canto.org/665873,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC655104,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,Phnom Krom rice fields,B,song,Agris Celmins,2012-01-22,0:16,https://xeno-canto.org/655104,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://creativecommons.org/licenses/by-nc-nd/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC642415,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,Singapore Kranji Marshes,B,song,Kim Chuah Lim,2021-04-25,0:14,https://xeno-canto.org/642415,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC593996,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Muang  Champasak (lake), Champasak",B,song,Bram Piot,2020-10-05,0:35,https://xeno-canto.org/593996,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC589824,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima",B,song,Greg Irving,2020-08-09,0:52,https://xeno-canto.org/589824,,,Yes,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi
XC580215,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Ban Vatnak, Vientiane Prefecture",B,song,Bram Piot,2020-07-28,0:22,https://xeno-canto.org/580215,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC578384,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Baluran, Java",B,call,Okamoto Keita Sin,2019-08-01,0:31,https://xeno-canto.org/578384,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC560520,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kinta District (near  Ipoh), Negeri Perak",B,song,Amar-Singh HSS,2020-05-21,1:20,https://xeno-canto.org/560520,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC559916,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Bang Kacha, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",B,call,Albert Noorlander,2019-08-19,0:33,https://xeno-canto.org/559916,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC559644,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Huai Khun Chit Reservoir, ChonBuri",B,song,Aladdin,2020-05-19,0:35,https://xeno-canto.org/559644,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
XC541311,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Gombak District (near  Ampang), Selangor",B,song,Attan Akmar,2016-09-15,0:20,https://xeno-canto.org/541311,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/,Yes,Digunakan,Lolos seleksi balancing durasi dan quality control
