filename,spesies,frekuensi_dominan_hz,frekuensi_fundamental_hz
Geopelia striata_f101_c3_rain.png,Geopelia striata,2503.63,781.73
Geopelia striata_f101_c3_wind.png,Geopelia striata,1736.99,781.73
Geopelia striata_f101_c4.png,Geopelia striata,2276.72,759.47
Geopelia striata_f101_c4_rain.png,Geopelia striata,2846.04,752.92
Geopelia striata_f101_c4_wind.png,Geopelia striata,2006.09,772.75
Geopelia striata_f101_c5.png,Geopelia striata,2102.41,277.98
Geopelia striata_f101_c5_rain.png,Geopelia striata,2720.47,274.79
Geopelia striata_f101_c5_wind.png,Geopelia striata,1879.11,285.31
Geopelia striata_f101_c6.png,Geopelia striata,2196.24,273.21
Geopelia striata_f101_c6_rain.png,Geopelia striata,3151.93,271.63
Geopelia striata_f101_c6_wind.png,Geopelia striata,2159.24,279.59
Geopelia striata_f101_c7.png,Geopelia striata,2230.43,973.6
Geopelia striata_f101_c7_rain.png,Geopelia striata,3511.71,962.42
Geopelia striata_f101_c7_wind.png,Geopelia striata,2075.57,976.42
Geopelia striata_f101_c8.png,Geopelia striata,2307.32,979.24
Geopelia striata_f101_c8_rain.png,Geopelia striata,2726.99,962.42
Geopelia striata_f101_c8_wind.png,Geopelia striata,2206.55,962.42
Geopelia striata_f101_c9.png,Geopelia striata,194.26,1005.03
Geopelia striata_f101_c9_rain.png,Geopelia striata,4980.14,230.41
Geopelia striata_f101_c9_wind.png,Geopelia striata,1366.58,246.23
Geopelia striata_f102_c1.png,Geopelia striata,3780.15,4066.85
Geopelia striata_f102_c1_rain.png,Geopelia striata,4150.67,4078.59
Geopelia striata_f102_c1_wind.png,Geopelia striata,3623.83,4296.23
Geopelia striata_f102_c2.png,Geopelia striata,3963.58,5138.71
Geopelia striata_f102_c2_rain.png,Geopelia striata,4118.01,5138.71
Geopelia striata_f102_c2_wind.png,Geopelia striata,3888.7,5138.71
Geopelia striata_f102_c3.png,Geopelia striata,3889.71,5050.43
Geopelia striata_f102_c3_rain.png,Geopelia striata,4323.9,5050.43
Geopelia striata_f102_c3_wind.png,Geopelia striata,3810.33,5050.43
Geopelia striata_f102_c4.png,Geopelia striata,1238.1,1195.19
Geopelia striata_f102_c4_rain.png,Geopelia striata,4767.08,1167.9
Geopelia striata_f102_c4_wind.png,Geopelia striata,1884.76,1052.6
Geopelia striata_f103_c1.png,Geopelia striata,3004.0,201.16
Geopelia striata_f103_c1_rain.png,Geopelia striata,3149.98,201.16
Geopelia striata_f103_c1_wind.png,Geopelia striata,2851.23,201.16
Geopelia striata_f103_c2.png,Geopelia striata,3114.83,201.16
Geopelia striata_f103_c2_rain.png,Geopelia striata,3221.06,201.16
Geopelia striata_f103_c2_wind.png,Geopelia striata,3051.17,201.16
Geopelia striata_f103_c3.png,Geopelia striata,3316.59,200.0
Geopelia striata_f103_c3_rain.png,Geopelia striata,3768.49,200.0
Geopelia striata_f103_c3_wind.png,Geopelia striata,3153.32,201.16
Geopelia striata_f104_c1.png,Geopelia striata,4495.24,375.38
Geopelia striata_f104_c1_rain.png,Geopelia striata,4656.3,712.72
Geopelia striata_f104_c1_wind.png,Geopelia striata,3472.82,1034.48
Geopelia striata_f104_c2.png,Geopelia striata,4507.56,1111.93
Geopelia striata_f104_c2_rain.png,Geopelia striata,4502.45,1105.55
Geopelia striata_f104_c2_wind.png,Geopelia striata,4322.39,377.55
Geopelia striata_f104_c3.png,Geopelia striata,4485.14,1157.82
Geopelia striata_f104_c3_rain.png,Geopelia striata,4424.42,1157.82
Geopelia striata_f104_c3_wind.png,Geopelia striata,4007.73,1157.82
Geopelia striata_f105_c1.png,Geopelia striata,5707.69,1248.1
Geopelia striata_f105_c1_rain.png,Geopelia striata,5675.57,1240.92
Geopelia striata_f105_c1_wind.png,Geopelia striata,5403.91,1248.1
Geopelia striata_f105_c2.png,Geopelia striata,5817.17,0.0
Geopelia striata_f105_c2_rain.png,Geopelia striata,5766.41,0.0
Geopelia striata_f105_c2_wind.png,Geopelia striata,5578.39,0.0
Geopelia striata_f105_c3.png,Geopelia striata,5480.85,3332.04
Geopelia striata_f105_c3_rain.png,Geopelia striata,5484.61,3255.99
Geopelia striata_f105_c3_wind.png,Geopelia striata,5365.86,3255.99
Geopelia striata_f105_c4.png,Geopelia striata,262.95,0.0
Geopelia striata_f105_c4_rain.png,Geopelia striata,5234.64,202.32
Geopelia striata_f105_c4_wind.png,Geopelia striata,1550.15,221.27
Geopelia striata_f106_c1.png,Geopelia striata,4394.2,1131.37
Geopelia striata_f106_c1_rain.png,Geopelia striata,4502.48,1131.37
Geopelia striata_f106_c1_wind.png,Geopelia striata,4162.93,1099.16
Geopelia striata_f106_c2.png,Geopelia striata,1068.64,2004.26
Geopelia striata_f106_c2_rain.png,Geopelia striata,5081.7,2004.26
Geopelia striata_f106_c2_wind.png,Geopelia striata,1891.94,2004.26
Geopelia striata_f107_c1.png,Geopelia striata,2784.43,962.42
Geopelia striata_f107_c1_rain.png,Geopelia striata,3439.42,945.89
Geopelia striata_f107_c1_wind.png,Geopelia striata,2623.8,970.8
Geopelia striata_f107_c2.png,Geopelia striata,2709.68,1016.71
Geopelia striata_f107_c2_rain.png,Geopelia striata,3501.77,1022.6
Geopelia striata_f107_c2_wind.png,Geopelia striata,2589.45,935.02
Geopelia striata_f107_c3.png,Geopelia striata,2756.23,1102.35
Geopelia striata_f107_c3_rain.png,Geopelia striata,2866.81,1105.53
Geopelia striata_f107_c3_wind.png,Geopelia striata,2626.95,1111.93
Geopelia striata_f107_c4.png,Geopelia striata,2916.19,1105.53
Geopelia striata_f107_c4_rain.png,Geopelia striata,3032.81,1105.53
Geopelia striata_f107_c4_wind.png,Geopelia striata,2899.44,1105.53
Geopelia striata_f107_c5.png,Geopelia striata,394.24,0.0
Geopelia striata_f107_c5_rain.png,Geopelia striata,4975.11,0.0
Geopelia striata_f107_c5_wind.png,Geopelia striata,1439.74,244.81
Geopelia striata_f108_c1.png,Geopelia striata,1851.65,200.0
Geopelia striata_f108_c1_rain.png,Geopelia striata,2424.58,200.0
Geopelia striata_f108_c1_wind.png,Geopelia striata,1784.27,200.0
Geopelia striata_f108_c2.png,Geopelia striata,1869.18,200.0
Geopelia striata_f108_c2_rain.png,Geopelia striata,3194.0,200.0
Geopelia striata_f108_c2_wind.png,Geopelia striata,1853.44,200.0
Geopelia striata_f108_c3.png,Geopelia striata,1947.06,200.0
Geopelia striata_f108_c3_rain.png,Geopelia striata,2222.13,200.0
Geopelia striata_f108_c3_wind.png,Geopelia striata,1838.46,200.0
Geopelia striata_f108_c4.png,Geopelia striata,1848.16,200.0
Geopelia striata_f108_c4_rain.png,Geopelia striata,2152.3,200.0
Geopelia striata_f108_c4_wind.png,Geopelia striata,1804.72,200.0
Geopelia striata_f108_c5.png,Geopelia striata,1848.1,200.0
Geopelia striata_f108_c5_rain.png,Geopelia striata,2587.27,200.0
Geopelia striata_f108_c5_wind.png,Geopelia striata,1753.24,200.0
Geopelia striata_f108_c6.png,Geopelia striata,1887.76,200.0
Geopelia striata_f108_c6_rain.png,Geopelia striata,2211.87,200.0
Geopelia striata_f108_c6_wind.png,Geopelia striata,1871.19,200.0
Geopelia striata_f108_c7.png,Geopelia striata,1959.71,200.0
Geopelia striata_f108_c7_rain.png,Geopelia striata,3200.11,200.0
Geopelia striata_f108_c7_wind.png,Geopelia striata,1908.12,200.0
Geopelia striata_f108_c8.png,Geopelia striata,2069.68,200.0
Geopelia striata_f108_c8_rain.png,Geopelia striata,2310.62,200.0
Geopelia striata_f108_c8_wind.png,Geopelia striata,2022.39,200.0
Geopelia striata_f108_c9.png,Geopelia striata,1859.61,200.0
Geopelia striata_f108_c9_rain.png,Geopelia striata,2934.16,200.0
Geopelia striata_f108_c9_wind.png,Geopelia striata,1977.67,200.0
Geopelia striata_f109_c1.png,Geopelia striata,4775.08,6474.36
Geopelia striata_f109_c10.png,Geopelia striata,4524.72,6437.07
Geopelia striata_f109_c10_rain.png,Geopelia striata,4900.31,6474.36
Geopelia striata_f109_c10_wind.png,Geopelia striata,4357.22,6437.07
Geopelia striata_f109_c11.png,Geopelia striata,4861.06,6474.36
Geopelia striata_f109_c11_rain.png,Geopelia striata,5005.34,6474.36
Geopelia striata_f109_c11_wind.png,Geopelia striata,4324.94,6474.36
Geopelia striata_f109_c12.png,Geopelia striata,4880.05,6474.36
Geopelia striata_f109_c12_rain.png,Geopelia striata,5041.01,6474.36
Geopelia striata_f109_c12_wind.png,Geopelia striata,4569.97,6474.36
Geopelia striata_f109_c13.png,Geopelia striata,5024.37,6474.36
Geopelia striata_f109_c13_rain.png,Geopelia striata,5273.78,6474.36
Geopelia striata_f109_c13_wind.png,Geopelia striata,4497.89,6474.36
Geopelia striata_f109_c14.png,Geopelia striata,4964.61,6474.36
Geopelia striata_f109_c14_rain.png,Geopelia striata,5191.18,6474.36
Geopelia striata_f109_c14_wind.png,Geopelia striata,4816.17,6474.36
Geopelia striata_f109_c15.png,Geopelia striata,5086.5,6474.36
Geopelia striata_f109_c15_rain.png,Geopelia striata,5332.8,6474.36
Geopelia striata_f109_c15_wind.png,Geopelia striata,4785.77,6474.36
Geopelia striata_f109_c16.png,Geopelia striata,4928.36,6437.07
Geopelia striata_f109_c16_rain.png,Geopelia striata,5157.54,6474.36
Geopelia striata_f109_c16_wind.png,Geopelia striata,4631.28,6474.36
Geopelia striata_f109_c17.png,Geopelia striata,5063.02,6474.36
Geopelia striata_f109_c17_rain.png,Geopelia striata,5183.12,6474.36
Geopelia striata_f109_c17_wind.png,Geopelia striata,4474.52,6474.36
Geopelia striata_f109_c18.png,Geopelia striata,4680.41,6474.36
Geopelia striata_f109_c18_rain.png,Geopelia striata,4977.34,6474.36
Geopelia striata_f109_c18_wind.png,Geopelia striata,4538.51,6474.36
Geopelia striata_f109_c19.png,Geopelia striata,4591.42,3274.8
Geopelia striata_f109_c19_rain.png,Geopelia striata,4942.22,3274.8
Geopelia striata_f109_c19_wind.png,Geopelia striata,3923.23,6437.07
Geopelia striata_f109_c1_rain.png,Geopelia striata,4924.48,6474.36
Geopelia striata_f109_c1_wind.png,Geopelia striata,4645.9,6474.36
Geopelia striata_f109_c2.png,Geopelia striata,4879.9,6474.36
Geopelia striata_f109_c20.png,Geopelia striata,4720.19,4512.45
Geopelia striata_f109_c20_rain.png,Geopelia striata,5016.08,5153.59
Geopelia striata_f109_c20_wind.png,Geopelia striata,4495.55,5228.53
Geopelia striata_f109_c21.png,Geopelia striata,4691.61,6474.36
Geopelia striata_f109_c21_rain.png,Geopelia striata,4839.73,6474.36
Geopelia striata_f109_c21_wind.png,Geopelia striata,4528.6,6474.36
Geopelia striata_f109_c22.png,Geopelia striata,4847.96,6474.36
Geopelia striata_f109_c22_rain.png,Geopelia striata,5013.3,6474.36
Geopelia striata_f109_c22_wind.png,Geopelia striata,4527.3,6474.36
Geopelia striata_f109_c23.png,Geopelia striata,5020.45,6474.36
Geopelia striata_f109_c23_rain.png,Geopelia striata,5153.06,6474.36
Geopelia striata_f109_c23_wind.png,Geopelia striata,4721.63,6474.36
Geopelia striata_f109_c24.png,Geopelia striata,4681.45,6326.49
Geopelia striata_f109_c24_rain.png,Geopelia striata,4955.06,6326.49
Geopelia striata_f109_c24_wind.png,Geopelia striata,4481.67,6326.49
Geopelia striata_f109_c25.png,Geopelia striata,4828.82,6474.36
Geopelia striata_f109_c25_rain.png,Geopelia striata,4964.8,6474.36
Geopelia striata_f109_c25_wind.png,Geopelia striata,4548.51,6474.36
Geopelia striata_f109_c26.png,Geopelia striata,4648.77,6474.36
Geopelia striata_f109_c26_rain.png,Geopelia striata,5141.83,6474.36
Geopelia striata_f109_c26_wind.png,Geopelia striata,4474.12,6474.36
Geopelia striata_f109_c2_rain.png,Geopelia striata,5079.95,6474.36
Geopelia striata_f109_c2_wind.png,Geopelia striata,4589.29,6474.36
Geopelia striata_f109_c3.png,Geopelia striata,4907.2,6437.07
Geopelia striata_f109_c3_rain.png,Geopelia striata,5217.83,6437.07
Geopelia striata_f109_c3_wind.png,Geopelia striata,4654.47,6437.07
Geopelia striata_f109_c4.png,Geopelia striata,4958.81,6474.36
Geopelia striata_f109_c4_rain.png,Geopelia striata,5108.12,6474.36
Geopelia striata_f109_c4_wind.png,Geopelia striata,4665.06,6474.36
Geopelia striata_f109_c5.png,Geopelia striata,4955.1,6474.36
Geopelia striata_f109_c5_rain.png,Geopelia striata,5096.03,6474.36
Geopelia striata_f109_c5_wind.png,Geopelia striata,4807.8,6474.36
Geopelia striata_f109_c6.png,Geopelia striata,4864.09,6474.36
Geopelia striata_f109_c6_rain.png,Geopelia striata,5187.7,6474.36
Geopelia striata_f109_c6_wind.png,Geopelia striata,4715.11,6474.36
Geopelia striata_f109_c7.png,Geopelia striata,5025.46,6474.36
Geopelia striata_f109_c7_rain.png,Geopelia striata,5164.78,6474.36
Geopelia striata_f109_c7_wind.png,Geopelia striata,4729.95,6474.36
Geopelia striata_f109_c8.png,Geopelia striata,4656.13,6474.36
Geopelia striata_f109_c8_rain.png,Geopelia striata,4910.97,6474.36
Geopelia striata_f109_c8_wind.png,Geopelia striata,4099.38,6474.36
Geopelia striata_f109_c9.png,Geopelia striata,4799.53,6474.36
Geopelia striata_f109_c9_rain.png,Geopelia striata,5156.62,6474.36
Geopelia striata_f109_c9_wind.png,Geopelia striata,4426.48,6474.36
Geopelia striata_f10_c1.png,Geopelia striata,4856.37,1157.82
Geopelia striata_f10_c1_rain.png,Geopelia striata,4561.65,1118.38
Geopelia striata_f10_c1_wind.png,Geopelia striata,1380.53,1105.53
Geopelia striata_f10_c2.png,Geopelia striata,2967.98,1164.52
Geopelia striata_f10_c2_rain.png,Geopelia striata,4852.58,1131.37
Geopelia striata_f10_c2_wind.png,Geopelia striata,1346.83,1137.92
Geopelia striata_f10_c3.png,Geopelia striata,3144.89,1131.37
Geopelia striata_f10_c3_rain.png,Geopelia striata,4383.62,1124.85
Geopelia striata_f10_c3_wind.png,Geopelia striata,1902.24,1118.38
Geopelia striata_f10_c4.png,Geopelia striata,4846.51,1269.92
Geopelia striata_f10_c4_rain.png,Geopelia striata,4914.04,1099.16
Geopelia striata_f10_c4_wind.png,Geopelia striata,1678.89,1111.93
Geopelia striata_f110_c1.png,Geopelia striata,4156.4,259.37
Geopelia striata_f110_c1_rain.png,Geopelia striata,4290.27,916.31
Geopelia striata_f110_c1_wind.png,Geopelia striata,3775.44,913.67
Geopelia striata_f110_c2.png,Geopelia striata,4037.93,996.36
Geopelia striata_f110_c2_rain.png,Geopelia striata,4145.7,996.36
Geopelia striata_f110_c2_wind.png,Geopelia striata,3841.31,1019.65
Geopelia striata_f110_c3.png,Geopelia striata,4347.88,6530.73
Geopelia striata_f110_c3_rain.png,Geopelia striata,4394.65,6511.87
Geopelia striata_f110_c3_wind.png,Geopelia striata,4066.22,6549.59
Geopelia striata_f110_c4.png,Geopelia striata,3956.33,929.64
Geopelia striata_f110_c4_rain.png,Geopelia striata,4267.98,956.88
Geopelia striata_f110_c4_wind.png,Geopelia striata,3538.05,913.67
Geopelia striata_f110_c5.png,Geopelia striata,4100.58,253.44
Geopelia striata_f110_c5_rain.png,Geopelia striata,4094.17,253.44
Geopelia striata_f110_c5_wind.png,Geopelia striata,4078.12,259.37
Geopelia striata_f110_c6.png,Geopelia striata,3983.41,951.37
Geopelia striata_f110_c6_rain.png,Geopelia striata,4081.83,962.42
Geopelia striata_f110_c6_wind.png,Geopelia striata,3934.11,962.42
Geopelia striata_f110_c7.png,Geopelia striata,4015.69,262.38
Geopelia striata_f110_c7_rain.png,Geopelia striata,4171.61,996.36
Geopelia striata_f110_c7_wind.png,Geopelia striata,3939.47,268.51
Geopelia striata_f110_c8.png,Geopelia striata,3796.85,1005.03
Geopelia striata_f110_c8_rain.png,Geopelia striata,4116.91,984.92
Geopelia striata_f110_c8_wind.png,Geopelia striata,3522.3,987.77
Geopelia striata_f110_c9.png,Geopelia striata,3819.35,1131.39
Geopelia striata_f110_c9_rain.png,Geopelia striata,4323.65,1025.56
Geopelia striata_f110_c9_wind.png,Geopelia striata,3696.63,973.6
Geopelia striata_f111_c1.png,Geopelia striata,3283.57,1184.88
Geopelia striata_f111_c1_rain.png,Geopelia striata,3516.58,1184.88
Geopelia striata_f111_c1_wind.png,Geopelia striata,2987.09,1191.74
Geopelia striata_f111_c2.png,Geopelia striata,3697.79,3341.69
Geopelia striata_f111_c2_rain.png,Geopelia striata,4196.95,3332.04
Geopelia striata_f111_c2_wind.png,Geopelia striata,3452.71,3409.92
Geopelia striata_f111_c3.png,Geopelia striata,3524.45,3591.94
Geopelia striata_f111_c3_rain.png,Geopelia striata,3707.15,3550.62
Geopelia striata_f111_c3_wind.png,Geopelia striata,3279.53,3154.77
Geopelia striata_f111_c4.png,Geopelia striata,3319.04,1191.74
Geopelia striata_f111_c4_rain.png,Geopelia striata,3536.72,1191.74
Geopelia striata_f111_c4_wind.png,Geopelia striata,3259.46,1164.52
Geopelia striata_f111_c5.png,Geopelia striata,2856.9,1118.38
Geopelia striata_f111_c5_rain.png,Geopelia striata,3955.79,1077.28
Geopelia striata_f111_c5_wind.png,Geopelia striata,3000.58,1118.38
Geopelia striata_f112_c1.png,Geopelia striata,3387.18,1255.33
Geopelia striata_f112_c1_rain.png,Geopelia striata,4265.78,1233.77
Geopelia striata_f112_c1_wind.png,Geopelia striata,3348.79,1028.53
Geopelia striata_f113_c1.png,Geopelia striata,2554.59,956.88
Geopelia striata_f113_c1_rain.png,Geopelia striata,3463.13,956.88
Geopelia striata_f113_c1_wind.png,Geopelia striata,2335.48,951.37
Geopelia striata_f113_c2.png,Geopelia striata,2888.31,968.0
Geopelia striata_f113_c2_rain.png,Geopelia striata,3239.57,968.0
Geopelia striata_f113_c2_wind.png,Geopelia striata,2737.09,968.0
Geopelia striata_f113_c3.png,Geopelia striata,2739.94,956.88
Geopelia striata_f113_c3_rain.png,Geopelia striata,3114.04,956.88
Geopelia striata_f113_c3_wind.png,Geopelia striata,2379.17,940.44
Geopelia striata_f113_c4.png,Geopelia striata,463.46,0.0
Geopelia striata_f113_c4_rain.png,Geopelia striata,4878.15,207.05
Geopelia striata_f113_c4_wind.png,Geopelia striata,1710.47,210.68
Geopelia striata_f114_c1.png,Geopelia striata,5747.45,0.0
Geopelia striata_f114_c1_rain.png,Geopelia striata,5733.04,0.0
Geopelia striata_f114_c1_wind.png,Geopelia striata,5679.24,0.0
Geopelia striata_f114_c2.png,Geopelia striata,5878.52,0.0
Geopelia striata_f114_c2_rain.png,Geopelia striata,5884.03,0.0
Geopelia striata_f114_c2_wind.png,Geopelia striata,5849.98,0.0
Geopelia striata_f114_c3.png,Geopelia striata,5868.16,0.0
Geopelia striata_f114_c3_rain.png,Geopelia striata,5876.82,0.0
Geopelia striata_f114_c3_wind.png,Geopelia striata,5790.41,0.0
Geopelia striata_f114_c4.png,Geopelia striata,1118.4,0.0
Geopelia striata_f114_c4_rain.png,Geopelia striata,5401.8,204.09
Geopelia striata_f114_c4_wind.png,Geopelia striata,2348.52,221.91
Geopelia striata_f115_c1.png,Geopelia striata,2773.41,1198.65
Geopelia striata_f115_c1_rain.png,Geopelia striata,5228.5,1198.65
Geopelia striata_f115_c1_wind.png,Geopelia striata,3058.51,1198.65
Geopelia striata_f116_c1.png,Geopelia striata,326.05,1144.52
Geopelia striata_f116_c1_rain.png,Geopelia striata,4767.93,655.84
Geopelia striata_f116_c1_wind.png,Geopelia striata,1290.52,1137.92
Geopelia striata_f117_c1.png,Geopelia striata,1842.01,1111.93
Geopelia striata_f117_c10.png,Geopelia striata,2147.44,1074.06
Geopelia striata_f117_c10_rain.png,Geopelia striata,3087.67,1080.28
Geopelia striata_f117_c10_wind.png,Geopelia striata,1834.34,1055.61
Geopelia striata_f117_c11.png,Geopelia striata,2125.33,1099.16
Geopelia striata_f117_c11_rain.png,Geopelia striata,3668.81,1074.06
Geopelia striata_f117_c11_wind.png,Geopelia striata,2020.68,1099.16
Geopelia striata_f117_c12.png,Geopelia striata,2202.01,1013.78
Geopelia striata_f117_c12_rain.png,Geopelia striata,4349.63,200.0
Geopelia striata_f117_c12_wind.png,Geopelia striata,1949.12,210.07
Geopelia striata_f117_c13.png,Geopelia striata,1987.23,633.13
Geopelia striata_f117_c13_rain.png,Geopelia striata,3098.3,737.85
Geopelia striata_f117_c13_wind.png,Geopelia striata,1797.94,636.8
Geopelia striata_f117_c14.png,Geopelia striata,2148.09,1061.72
Geopelia striata_f117_c14_rain.png,Geopelia striata,3006.15,1055.61
Geopelia striata_f117_c14_wind.png,Geopelia striata,1986.18,1074.06
Geopelia striata_f117_c15.png,Geopelia striata,2092.31,1080.28
Geopelia striata_f117_c15_rain.png,Geopelia striata,4224.59,1074.08
Geopelia striata_f117_c15_wind.png,Geopelia striata,1997.7,1080.28
Geopelia striata_f117_c16.png,Geopelia striata,2032.89,664.99
Geopelia striata_f117_c16_rain.png,Geopelia striata,3085.66,664.99
Geopelia striata_f117_c16_wind.png,Geopelia striata,1833.88,682.73
Geopelia striata_f117_c17.png,Geopelia striata,1903.48,678.57
Geopelia striata_f117_c17_rain.png,Geopelia striata,4225.13,666.92
Geopelia striata_f117_c17_wind.png,Geopelia striata,1730.05,663.08
Geopelia striata_f117_c18.png,Geopelia striata,2141.35,1058.66
Geopelia striata_f117_c18_rain.png,Geopelia striata,3150.35,1064.8
Geopelia striata_f117_c18_wind.png,Geopelia striata,1809.25,243.4
Geopelia striata_f117_c19.png,Geopelia striata,2070.16,1061.72
Geopelia striata_f117_c19_rain.png,Geopelia striata,3787.74,1049.53
Geopelia striata_f117_c19_wind.png,Geopelia striata,1863.73,1058.66
Geopelia striata_f117_c1_rain.png,Geopelia striata,3905.92,1111.93
Geopelia striata_f117_c1_wind.png,Geopelia striata,1535.73,1108.73
Geopelia striata_f117_c2.png,Geopelia striata,2037.37,1077.17
Geopelia striata_f117_c20.png,Geopelia striata,2225.55,1046.5
Geopelia striata_f117_c20_rain.png,Geopelia striata,4306.78,1055.61
Geopelia striata_f117_c20_wind.png,Geopelia striata,1840.44,1031.5
Geopelia striata_f117_c21.png,Geopelia striata,2163.99,1037.47
Geopelia striata_f117_c21_rain.png,Geopelia striata,3075.26,1037.47
Geopelia striata_f117_c21_wind.png,Geopelia striata,1840.13,903.17
Geopelia striata_f117_c22.png,Geopelia striata,2106.89,1058.66
Geopelia striata_f117_c22_rain.png,Geopelia striata,2950.53,1058.66
Geopelia striata_f117_c22_wind.png,Geopelia striata,2015.82,1058.66
Geopelia striata_f117_c23.png,Geopelia striata,2240.45,1061.74
Geopelia striata_f117_c23_rain.png,Geopelia striata,3646.26,1067.87
Geopelia striata_f117_c23_wind.png,Geopelia striata,2026.76,1046.5
Geopelia striata_f117_c24.png,Geopelia striata,2149.65,1025.56
Geopelia striata_f117_c24_rain.png,Geopelia striata,3227.35,1061.72
Geopelia striata_f117_c24_wind.png,Geopelia striata,1893.23,954.12
Geopelia striata_f117_c25.png,Geopelia striata,2235.44,1055.61
Geopelia striata_f117_c25_rain.png,Geopelia striata,3033.02,1031.5
Geopelia striata_f117_c25_wind.png,Geopelia striata,2065.26,1080.28
Geopelia striata_f117_c26.png,Geopelia striata,1991.0,1055.61
Geopelia striata_f117_c26_rain.png,Geopelia striata,3853.36,1061.72
Geopelia striata_f117_c26_wind.png,Geopelia striata,1879.17,1058.66
Geopelia striata_f117_c27.png,Geopelia striata,2258.3,0.0
Geopelia striata_f117_c27_rain.png,Geopelia striata,2984.4,0.0
Geopelia striata_f117_c27_wind.png,Geopelia striata,2246.16,0.0
Geopelia striata_f117_c28.png,Geopelia striata,2119.92,1064.8
Geopelia striata_f117_c28_rain.png,Geopelia striata,3684.25,1070.96
Geopelia striata_f117_c28_wind.png,Geopelia striata,1985.96,1061.72
Geopelia striata_f117_c29.png,Geopelia striata,2041.4,1092.83
Geopelia striata_f117_c29_rain.png,Geopelia striata,3643.18,1092.83
Geopelia striata_f117_c29_wind.png,Geopelia striata,1937.92,1086.54
Geopelia striata_f117_c2_rain.png,Geopelia striata,3783.63,1049.53
Geopelia striata_f117_c2_wind.png,Geopelia striata,1652.31,973.62
Geopelia striata_f117_c3.png,Geopelia striata,2191.06,1074.06
Geopelia striata_f117_c30.png,Geopelia striata,2071.52,1083.41
Geopelia striata_f117_c30_rain.png,Geopelia striata,3647.5,1083.41
Geopelia striata_f117_c30_wind.png,Geopelia striata,1885.98,1086.54
Geopelia striata_f117_c31.png,Geopelia striata,2190.13,0.0
Geopelia striata_f117_c31_rain.png,Geopelia striata,2564.18,0.0
Geopelia striata_f117_c31_wind.png,Geopelia striata,2177.81,0.0
Geopelia striata_f117_c32.png,Geopelia striata,1968.25,1086.54
Geopelia striata_f117_c32_rain.png,Geopelia striata,3834.76,1092.83
Geopelia striata_f117_c32_wind.png,Geopelia striata,1887.93,1080.28
Geopelia striata_f117_c33.png,Geopelia striata,1922.27,0.0
Geopelia striata_f117_c33_rain.png,Geopelia striata,3193.49,0.0
Geopelia striata_f117_c33_wind.png,Geopelia striata,1945.67,220.0
Geopelia striata_f117_c3_rain.png,Geopelia striata,4031.16,1049.53
Geopelia striata_f117_c3_wind.png,Geopelia striata,2117.02,1074.06
Geopelia striata_f117_c4.png,Geopelia striata,2170.47,1049.53
Geopelia striata_f117_c4_rain.png,Geopelia striata,3374.17,1049.53
Geopelia striata_f117_c4_wind.png,Geopelia striata,1888.51,1061.72
Geopelia striata_f117_c5.png,Geopelia striata,2209.34,1070.96
Geopelia striata_f117_c5_rain.png,Geopelia striata,3827.94,1070.96
Geopelia striata_f117_c5_wind.png,Geopelia striata,1928.87,1055.61
Geopelia striata_f117_c6.png,Geopelia striata,2397.59,1074.06
