id_xc,nama_ilmiah,nama_indonesia,negara,lokasi,kualitas,durasi,nama_file,status,alasan
XC203370,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,1:22,XC203370.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC203367,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,2:12,XC203367.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203366,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:53,XC203366.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203357,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:10,XC203357.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203351,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",A,0:59,XC203351.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC199207,Geopelia striata,Perkutut Jawa,Mauritius,"Port Louis, Port Louis, Port Louis",A,0:41,XC199207.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC199206,Geopelia striata,Perkutut Jawa,Mauritius,"Port Louis, Port Louis, Port Louis",A,0:57,XC199206.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1080637,Geopelia striata,Perkutut Jawa,Singapore,"Satay by the Bay, Singapore",B,0:00,XC1080637.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1075196,Geopelia striata,Perkutut Jawa,Indonesia,"Kotamobagu urban areas, Kota Kotamobagu, Sulawesi Utara",B,2:42,XC1075196.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1048463,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur",B,0:15,XC1048463.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1047135,Geopelia striata,Perkutut Jawa,Thailand,"Makham, Makham District, Chanthaburi",B,1:05,XC1047135.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC983157,Geopelia striata,Perkutut Jawa,Cambodia,"Sambuor Meas (near  Phnom Penh), Moukh Kampoul, Phnom Penh",B,0:15,XC983157.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC973127,Geopelia striata,Perkutut Jawa,Singapore,BirdLife International (Asia) Office,B,1:16,XC973127.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC973067,Geopelia striata,Perkutut Jawa,Thailand,"Huay Chorakhe Mak NHA, Tambon Sakae Phrong, Amphoe Mueang Buri Ram, Chang Wat Buri Ram",B,0:34,XC973067.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC936889,Geopelia striata,Perkutut Jawa,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,0:21,XC936889.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC936403,Geopelia striata,Perkutut Jawa,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,1:42,XC936403.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC918374,Geopelia striata,Perkutut Jawa,France,"Sainte Suzanne, Canton de Saint-André-1, Saint-Denis",B,0:40,XC918374.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC904166,Geopelia striata,Perkutut Jawa,Laos,"Ban Vatnak, Vientiane Prefecture",B,0:28,XC904166.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC861442,Geopelia striata,Perkutut Jawa,Laos,"Nong Pen, Vientiane Prefecture",B,2:00,XC861442.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC844118,Geopelia striata,Perkutut Jawa,Thailand,"Suthep (near  Chiang Mai), Mueang Chiang Mai District, Chiang Mai",B,0:23,XC844118.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC828507,Geopelia striata,Perkutut Jawa,Laos,"Nong Khamsen wetland, Vientiane Prefecture",B,0:26,XC828507.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC797139,Geopelia striata,Perkutut Jawa,Thailand,"Pha Chang Park, Wiang Chai District, Chiang Rai",B,1:02,XC797139.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788414,Geopelia striata,Perkutut Jawa,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,0:02,XC788414.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC788244,Geopelia striata,Perkutut Jawa,Thailand,Benchakiti Park in Bangkok,B,0:15,XC788244.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC787535,Geopelia striata,Perkutut Jawa,Singapore,"Kranji Marshes, Singapore",B,0:19,XC787535.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC787534,Geopelia striata,Perkutut Jawa,Singapore,"Kranji Marshes, Singapore",B,0:24,XC787534.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC782724,Geopelia striata,Perkutut Jawa,Singapore,"Jurong Lake Gardens, Singapore",B,1:01,XC782724.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC779114,Geopelia striata,Perkutut Jawa,Thailand,Nai Yang Beach National Park,B,0:15,XC779114.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC764718,Geopelia striata,Perkutut Jawa,Singapore,"Kranji Marshes, Singapore",B,0:54,XC764718.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC756428,Geopelia striata,Perkutut Jawa,Singapore,"Jurong Lake Gardens, Singapore",B,0:03,XC756428.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC748014,Geopelia striata,Perkutut Jawa,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,0:31,XC748014.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC713711,Geopelia striata,Perkutut Jawa,Seychelles,"La Passe, La Digue",B,0:05,XC713711.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC685690,Geopelia striata,Perkutut Jawa,Malaysia,"Peninsular Malaysia (near  Klang), Selangor",B,0:01,XC685690.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC665873,Geopelia striata,Perkutut Jawa,Singapore,Bahtera Track,B,0:45,XC665873.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC655104,Geopelia striata,Perkutut Jawa,Cambodia,Phnom Krom rice fields,B,0:16,XC655104.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC642415,Geopelia striata,Perkutut Jawa,Singapore,Singapore Kranji Marshes,B,0:14,XC642415.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC593996,Geopelia striata,Perkutut Jawa,Laos,"Muang  Champasak (lake), Champasak",B,0:35,XC593996.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC589824,Geopelia striata,Perkutut Jawa,Thailand,"Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima",B,0:52,XC589824.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC580215,Geopelia striata,Perkutut Jawa,Laos,"Ban Vatnak, Vientiane Prefecture",B,0:22,XC580215.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC578384,Geopelia striata,Perkutut Jawa,Indonesia,"Baluran, Java",B,0:31,XC578384.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC560520,Geopelia striata,Perkutut Jawa,Malaysia,"Kinta District (near  Ipoh), Negeri Perak",B,1:20,XC560520.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC559916,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Bang Kacha, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",B,0:33,XC559916.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC559644,Geopelia striata,Perkutut Jawa,Thailand,"Huai Khun Chit Reservoir, ChonBuri",B,0:35,XC559644.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC541311,Geopelia striata,Perkutut Jawa,Malaysia,"Gombak District (near  Ampang), Selangor",B,0:20,XC541311.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC537518,Geopelia striata,Perkutut Jawa,Indonesia,"Kecamatan Kandis, Siak, Riau",B,0:13,XC537518.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC528907,Geopelia striata,Perkutut Jawa,Singapore,"West Coast Area, Singapore",B,3:19,XC528907.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC522909,Geopelia striata,Perkutut Jawa,Malaysia,"Lingga River nr bridge, Alor Gajah District (near  Kuala Sungai Baru), Malacca",B,2:04,XC522909.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC462874,Geopelia striata,Perkutut Jawa,Malaysia,"SS 22, Petaling Jaya, Selangor",B,0:38,XC462874.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC461650,Geopelia striata,Perkutut Jawa,Thailand,"ตำบล บางม่วง, อำเภอ ตะกั่วป่า, พังงา",B,0:09,XC461650.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC447638,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Mae Win, อำเภอ แม่วาง, Chang Wat Chiang Mai",B,0:40,XC447638.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC445754,Geopelia striata,Perkutut Jawa,Malaysia,"Sibu Lake Garden, Bahagian Sibu, Sarawak",B,0:15,XC445754.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC439488,Geopelia striata,Perkutut Jawa,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",B,0:14,XC439488.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC434900,Geopelia striata,Perkutut Jawa,Thailand,"Bangkok, Krung Thep Maha Nakhon",B,2:44,XC434900.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC434301,Geopelia striata,Perkutut Jawa,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",B,0:20,XC434301.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC404001,Geopelia striata,Perkutut Jawa,Seychelles,"La Digue, La Digue",B,0:14,XC404001.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC400874,Geopelia striata,Perkutut Jawa,France,"Kiosques de Bras-Long, Entre-Deux, Reunion Island",B,0:13,XC400874.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC397190,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Sai Ma, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi",B,0:45,XC397190.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC382147,Geopelia striata,Perkutut Jawa,Thailand,"Lampang, Mueang Lampang District, Lampang",B,0:09,XC382147.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC364380,Geopelia striata,Perkutut Jawa,Thailand,"Pun-Pun Organic Farm, Amphoe Mae Taeng, Chang Wat Chiang Mai",B,0:04,XC364380.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC360136,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Mueang Kao, Amphoe Mueang Sukhothai, Chang Wat Sukhothai",B,0:21,XC360136.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC352051,Geopelia striata,Perkutut Jawa,Malaysia,"Malaysian Rubber Research Institute, Selangor",B,1:53,XC352051.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC348091,Geopelia striata,Perkutut Jawa,Thailand,"Tambon Khao Khram, Amphoe Mueang Krabi, Chang Wat Krabi",B,0:21,XC348091.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC347813,Geopelia striata,Perkutut Jawa,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,0:18,XC347813.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC347812,Geopelia striata,Perkutut Jawa,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,0:18,XC347812.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC347811,Geopelia striata,Perkutut Jawa,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,0:44,XC347811.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC345584,Geopelia striata,Perkutut Jawa,Philippines,"Puerto Galera, Oriental Mindoro, MIMAROPA",B,0:10,XC345584.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC342490,Geopelia striata,Perkutut Jawa,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,0:20,XC342490.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC328022,Geopelia striata,Perkutut Jawa,United States,"Makawao, Maui County, Hawaii",B,4:55,XC328022.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC307402,Geopelia striata,Perkutut Jawa,Malaysia,Forest Research Institute Malaysia FRIM,B,0:11,XC307402.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC304320,Geopelia striata,Perkutut Jawa,Malaysia,"KSNP; Kuala Selangor, Selangor",B,0:04,XC304320.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC303939,Geopelia striata,Perkutut Jawa,Vietnam,"tx. Ninh Hòa, Khánh Hòa",B,0:10,XC303939.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC302526,Geopelia striata,Perkutut Jawa,Vietnam,"Natural Heritage Area Trang, Diên Khánh, Khánh Hòa",B,0:44,XC302526.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC290487,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Selangor, Selangor",B,0:14,XC290487.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC290486,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Selangor, Selangor",B,0:18,XC290486.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC290485,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Selangor, Selangor",B,0:25,XC290485.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC240597,Geopelia striata,Perkutut Jawa,Cambodia,"Bakan, Pursat",B,0:23,XC240597.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC205818,Geopelia striata,Perkutut Jawa,United States,"Kuliou'ou trail, Oahu, Hawaii",B,0:03,XC205818.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203389,Geopelia striata,Perkutut Jawa,Mauritius,"Curepipe, Plaines Wilhems",B,1:07,XC203389.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC203258,Geopelia striata,Perkutut Jawa,United States,"Kaneohe, Honolulu County, Hawaii",B,0:40,XC203258.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC198974,Geopelia striata,Perkutut Jawa,Mauritius,"Port Louis, Port Louis, Port Louis",B,0:15,XC198974.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC192181,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Selangor, Selangor",B,0:31,XC192181.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC192180,Geopelia striata,Perkutut Jawa,Malaysia,"Kuala Selangor, Selangor",B,0:06,XC192180.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC175520,Geopelia striata,Perkutut Jawa,United States,"Waikoloa Village, Big Island, Hawaii",B,2:52,XC175520.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC175251,Geopelia striata,Perkutut Jawa,United States,"Kilauea Lodge, Volcano NP, Hawai'i (Big Island), HA",B,0:57,XC175251.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC175250,Geopelia striata,Perkutut Jawa,United States,"Waikoloa Village, Big Island, Hawaii",B,0:40,XC175250.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC157267,Geopelia striata,Perkutut Jawa,Cambodia,"Chhrieave, nr Siem Reap",B,0:24,XC157267.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC151610,Geopelia striata,Perkutut Jawa,Indonesia,"Serangan island (center), Bali",B,1:42,XC151610.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC100269,Geopelia striata,Perkutut Jawa,Seychelles,"Baie Beau Vallon, Mahe, Seychelles",B,0:36,XC100269.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC94364,Geopelia striata,Perkutut Jawa,Thailand,"Laem Phak Bia, mangrove boat launch, Phetchaburi",B,0:06,XC94364.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC94363,Geopelia striata,Perkutut Jawa,Thailand,"Pakarung Guest House, Muang Phetchaburi",B,0:18,XC94363.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC94362,Geopelia striata,Perkutut Jawa,Thailand,"Pakarung Guest House, Muang Phetchaburi",B,0:15,XC94362.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC88906,Geopelia striata,Perkutut Jawa,Cambodia,"Sorng Rokavorn Community Forest, Oddar Meanchey Province",B,0:05,XC88906.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC88905,Geopelia striata,Perkutut Jawa,Cambodia,"Sorng Rokavorn Community Forest, Oddar Meanchey Province",B,0:05,XC88905.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC78420,Geopelia striata,Perkutut Jawa,Malaysia,"Lukut Mangroves, Negri Sembilan ",B,0:36,XC78420.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC46439,Geopelia striata,Perkutut Jawa,Taiwan,"Weiwoying Park, Kaohsiung, Taiwan",B,0:05,XC46439.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC40043,Geopelia striata,Perkutut Jawa,Singapore,Singapore Botanic Gardens,B,0:41,XC40043.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC34689,Geopelia striata,Perkutut Jawa,Malaysia,"Tempasuk paddyfields, Kota Belud, Sabah, Borneo ",B,0:06,XC34689.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC27662,Geopelia striata,Perkutut Jawa,Cambodia,Ang Trapeang Thmaw,B,0:33,XC27662.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1087832,Geopelia striata,Perkutut Jawa,Singapore,Singapore,C,0:11,XC1087832.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1051084,Geopelia striata,Perkutut Jawa,Myanmar,"Hpa-An, Hpa-An, Kayin State",C,0:32,XC1051084.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1010542,Geopelia striata,Perkutut Jawa,Mauritius,"Black River Gorges National Park (near  Chamouny), Savanne District",C,0:17,XC1010542.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1009989,Geopelia striata,Perkutut Jawa,Mauritius,"Vacoas-Phoenix, Plaines Wilhems District",C,0:17,XC1009989.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1003700,Geopelia striata,Perkutut Jawa,Indonesia,"National Monument Park, Central Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",C,0:17,XC1003700.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC1003564,Geopelia striata,Perkutut Jawa,Thailand,"Red Boardwalk Bridge (near  Tambon Phanthai Norasing), Mueang Samut Sakhon District, Samut Sakhon",C,0:18,XC1003564.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC883425,Geopelia striata,Perkutut Jawa,Taiwan,衛武營都會公園,C,0:29,XC883425.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC797253,Geopelia striata,Perkutut Jawa,Philippines,Panan private resort,C,0:06,XC797253.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC576417,Geopelia striata,Perkutut Jawa,Singapore,"Pulau Ubin, Singapore",C,0:15,XC576417.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC573520,Geopelia striata,Perkutut Jawa,Laos,"Nong Khamsen wetland, Vientiane Prefecture",C,0:21,XC573520.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC559129,Geopelia striata,Perkutut Jawa,Laos,"Ban Phonpapao - That Luang, Vientiane Prefecture",C,0:43,XC559129.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC541316,Geopelia striata,Perkutut Jawa,Malaysia,"Gombak District (near  Ampang), Selangor",C,0:22,XC541316.mp3,Tidak Digunakan,Tidak terpilih dalam proses balancing durasi (data berlebih)
XC541314,Geopelia striata,Perkutut Jawa,Malaysia,"Gombak District (near  Ampang Jaya), Selangor",C,0:16,XC541314.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC505910,Geopelia striata,Perkutut Jawa,Seychelles,La Digue,C,0:44,XC505910.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC503286,Geopelia striata,Perkutut Jawa,United States,"Hanalei NWR, Kauai County, Hawaii",C,2:09,XC503286.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
XC479203,Geopelia striata,Perkutut Jawa,Indonesia,"Sumatra, Kabupaten Pelalawan, Riau",C,0:10,XC479203.mp3,Digunakan,Lolos seleksi balancing durasi dan quality control
