id_xc,nama_ilmiah,nama_indonesia,nama_inggris,negara,lokasi,kualitas,jenis_suara,perekam,tanggal,durasi,url_halaman,nama_file,file_tersedia
XC942394,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Taman Alam, Kuala Selangor",A,"call, song",Joost van Bruggen,2024-09-03,0:15,https://xeno-canto.org/942394,XC942394.mp3,Ya
XC937966,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Bike and Tours Bed and Breakfast (near  Lahad Datu), Bahagian Tawau, Sabah",A,song,Joost van Bruggen,2024-08-24,0:47,https://xeno-canto.org/937966,XC937966.mp3,Ya
XC871888,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Wat Chalo (near  Tambon Bang Kruai), Amphoe Bang Kruai, Chang Wat Nonthaburi",A,song,Sam Hambly,2024-02-09,0:17,https://xeno-canto.org/871888,XC871888.mp3,Ya
XC848443,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Sekinchan, Selangor",A,song,Lim Ying Hien,2022-05-28,0:13,https://xeno-canto.org/848443,XC848443.mp3,Ya
XC844747,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Ko Kret (near  Tambon Ko Kret), Amphoe Pak Kret, Chang Wat Nonthaburi",A,song,Sam Hambly,2023-11-30,0:04,https://xeno-canto.org/844747,XC844747.mp3,Ya
XC844626,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",A,song,Sam Hambly,2023-11-29,0:04,https://xeno-canto.org/844626,XC844626.mp3,Ya
XC830485,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,call,Simon Elliott,2023-09-15,0:12,https://xeno-canto.org/830485,XC830485.mp3,Ya
XC830484,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,call,Simon Elliott,2023-09-15,0:16,https://xeno-canto.org/830484,XC830484.mp3,Ya
XC830483,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Grand Gaube, Rivière du Rempart District",A,song,Simon Elliott,2023-09-15,0:14,https://xeno-canto.org/830483,XC830483.mp3,Ya
XC788771,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",A,song,Romuald Mikusek,2023-02-06,0:14,https://xeno-canto.org/788771,XC788771.mp3,Ya
XC784604,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Petchaburi, Kaeng Krachan, Kum Nang Phaya Resort and environment",A,song,Stephan Risch,2023-02-07,0:16,https://xeno-canto.org/784604,XC784604.mp3,Ya
XC783712,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Cha-am Forest Park,A,song,Stephan Risch,2023-02-05,0:33,https://xeno-canto.org/783712,XC783712.mp3,Ya
XC618483,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"SS 22, Petaling Jaya, Selangor",A,"begging call, call",Salocin.TEN,2021-01-29,0:40,https://xeno-canto.org/618483,XC618483.mp3,Ya
XC616403,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Lam Pho, Amphoe Bang Bua Thong, Chang Wat Nonthaburi",A,uncertain,Thaibirdspot,2021-01-20,0:11,https://xeno-canto.org/616403,XC616403.mp3,Ya
XC598171,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Lampang, Mueang Lampang District, Lampang",A,song,Somkiat Pakapinyo (Chai),2020-07-09,0:33,https://xeno-canto.org/598171,XC598171.mp3,Ya
XC589483,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"Mahé, Baie Lazare",A,song,Simon Elliott,2018-09-19,0:31,https://xeno-canto.org/589483,XC589483.mp3,Ya
XC588080,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Flic en Flac, Rivière Noire District",A,call,Simon Elliott,2016-10-09,0:03,https://xeno-canto.org/588080,XC588080.mp3,Ya
XC207922,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-16,1:10,https://xeno-canto.org/207922,XC207922.mp3,Ya
XC207921,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-16,0:58,https://xeno-canto.org/207921,XC207921.mp3,Ya
XC207911,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-12-09,0:11,https://xeno-canto.org/207911,XC207911.mp3,Ya
XC203391,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:56,https://xeno-canto.org/203391,XC203391.mp3,Ya
XC203373,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:57,https://xeno-canto.org/203373,XC203373.mp3,Ya
XC203370,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,1:22,https://xeno-canto.org/203370,XC203370.mp3,Ya
XC203367,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,2:12,https://xeno-canto.org/203367,XC203367.mp3,Ya
XC203366,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:53,https://xeno-canto.org/203366,XC203366.mp3,Ya
XC203357,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,0:10,https://xeno-canto.org/203357,XC203357.mp3,Ya
XC203351,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",A,"call, song, wings clapping",Albert Lastukhin,2014-11-18,0:59,https://xeno-canto.org/203351,XC203351.mp3,Ya
XC199207,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Port Louis, Port Louis, Port Louis",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-10-17,0:41,https://xeno-canto.org/199207,XC199207.mp3,Ya
XC199206,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Port Louis, Port Louis, Port Louis",A,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-10-17,0:57,https://xeno-canto.org/199206,XC199206.mp3,Ya
XC1080637,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Satay by the Bay, Singapore",B,song,Joan Theng,2026-02-15,0:00,https://xeno-canto.org/1080637,XC1080637.mp3,Ya
XC1075196,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Kotamobagu urban areas, Kota Kotamobagu, Sulawesi Utara",B,song,Richard E. Webster,2025-11-24,2:42,https://xeno-canto.org/1075196,XC1075196.mp3,Ya
XC1048463,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur",B,song,Michael John O Mahony,2025-10-14,0:15,https://xeno-canto.org/1048463,XC1048463.mp3,Ya
XC1047135,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Makham, Makham District, Chanthaburi",B,song,Albert Noorlander,2025-10-12,1:05,https://xeno-canto.org/1047135,XC1047135.mp3,Ya
XC983157,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,"Sambuor Meas (near  Phnom Penh), Moukh Kampoul, Phnom Penh",B,song,Ding Li Yong,2025-03-11,0:15,https://xeno-canto.org/983157,XC983157.mp3,Ya
XC973127,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,BirdLife International (Asia) Office,B,subsong,Ding Li Yong,2025-02-13,1:16,https://xeno-canto.org/973127,XC973127.mp3,Ya
XC973067,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Huay Chorakhe Mak NHA, Tambon Sakae Phrong, Amphoe Mueang Buri Ram, Chang Wat Buri Ram",B,song,Greg Irving,2025-02-12,0:34,https://xeno-canto.org/973067,XC973067.mp3,Ya
XC936889,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,song,Greg Irving,2024-09-30,0:21,https://xeno-canto.org/936889,XC936889.mp3,Ya
XC936403,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"eBird hotspot: Bang Khaem Fish Ponds, Nakhon Pathom",B,song,Greg Irving,2024-09-28,1:42,https://xeno-canto.org/936403,XC936403.mp3,Ya
XC918374,Geopelia striata,Perkutut Jawa,Zebra Dove,France,"Sainte Suzanne, Canton de Saint-André-1, Saint-Denis",B,,Grégoire Chauvot,2020-03-12,0:40,https://xeno-canto.org/918374,XC918374.mp3,Ya
XC904166,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Ban Vatnak, Vientiane Prefecture",B,song,Bram Piot,2024-05-15,0:28,https://xeno-canto.org/904166,XC904166.mp3,Ya
XC861442,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Nong Pen, Vientiane Prefecture",B,song,Bram Piot,2024-01-12,2:00,https://xeno-canto.org/861442,XC861442.mp3,Ya
XC844118,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Suthep (near  Chiang Mai), Mueang Chiang Mai District, Chiang Mai",B,song,FREDERIC Lionel,2023-11-11,0:23,https://xeno-canto.org/844118,XC844118.mp3,Ya
XC828507,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Nong Khamsen wetland, Vientiane Prefecture",B,song,Bram Piot,2023-09-10,0:26,https://xeno-canto.org/828507,XC828507.mp3,Ya
XC797139,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Pha Chang Park, Wiang Chai District, Chiang Rai",B,song,Greg Irving,2023-04-29,1:02,https://xeno-canto.org/797139,XC797139.mp3,Ya
XC788414,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,song,Romuald Mikusek,2023-02-06,0:02,https://xeno-canto.org/788414,XC788414.mp3,Ya
XC788244,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Benchakiti Park in Bangkok,B,song,Stephan Risch,2023-02-03,0:15,https://xeno-canto.org/788244,XC788244.mp3,Ya
XC787535,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,Kim Chuah Lim,2023-03-19,0:19,https://xeno-canto.org/787535,XC787535.mp3,Ya
XC787534,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,Kim Chuah Lim,2023-03-19,0:24,https://xeno-canto.org/787534,XC787534.mp3,Ya
XC782724,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Jurong Lake Gardens, Singapore",B,song,Kim Chuah Lim,2023-02-26,1:01,https://xeno-canto.org/782724,XC782724.mp3,Ya
XC779114,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,Nai Yang Beach National Park,B,"song, Air conditioner",nick talbot,2023-01-22,0:15,https://xeno-canto.org/779114,XC779114.mp3,Ya
XC764718,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Kranji Marshes, Singapore",B,song,James Lambert,2022-07-17,0:54,https://xeno-canto.org/764718,XC764718.mp3,Ya
XC756428,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"Jurong Lake Gardens, Singapore",B,wing beats,Okamoto Keita Sin,2021-10-08,0:03,https://xeno-canto.org/756428,XC756428.mp3,Ya
XC748014,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kota Kinabalu District (near  Kota Kinabalu), Bahagian Pantai Barat, Sabah",B,song,Wonseok Jang,2022-08-04,0:31,https://xeno-canto.org/748014,XC748014.mp3,Ya
XC713711,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"La Passe, La Digue",B,song,Alexander Schlatmann,2022-02-20,0:05,https://xeno-canto.org/713711,XC713711.mp3,Ya
XC685690,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Peninsular Malaysia (near  Klang), Selangor",B,"call, guttural call for nesting",SARAVANAN PALANISAMY,2021-10-27,0:01,https://xeno-canto.org/685690,XC685690.mp3,Ya
XC665873,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,Bahtera Track,B,call,Kim Chuah Lim,2021-07-31,0:45,https://xeno-canto.org/665873,XC665873.mp3,Ya
XC655104,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,Phnom Krom rice fields,B,song,Agris Celmins,2012-01-22,0:16,https://xeno-canto.org/655104,XC655104.mp3,Ya
XC642415,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,Singapore Kranji Marshes,B,song,Kim Chuah Lim,2021-04-25,0:14,https://xeno-canto.org/642415,XC642415.mp3,Ya
XC593996,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Muang  Champasak (lake), Champasak",B,song,Bram Piot,2020-10-05,0:35,https://xeno-canto.org/593996,XC593996.mp3,Ya
XC589824,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Thai Samakkhi Village, Amphoe Wang Nam Khiao, Chang Wat Nakhon Ratchasima",B,song,Greg Irving,2020-08-09,0:52,https://xeno-canto.org/589824,XC589824.mp3,Ya
XC580215,Geopelia striata,Perkutut Jawa,Zebra Dove,Laos,"Ban Vatnak, Vientiane Prefecture",B,song,Bram Piot,2020-07-28,0:22,https://xeno-canto.org/580215,XC580215.mp3,Ya
XC578384,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Baluran, Java",B,call,Okamoto Keita Sin,2019-08-01,0:31,https://xeno-canto.org/578384,XC578384.mp3,Ya
XC560520,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kinta District (near  Ipoh), Negeri Perak",B,song,Amar-Singh HSS,2020-05-21,1:20,https://xeno-canto.org/560520,XC560520.mp3,Ya
XC559916,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Bang Kacha, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi",B,call,Albert Noorlander,2019-08-19,0:33,https://xeno-canto.org/559916,XC559916.mp3,Ya
XC559644,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Huai Khun Chit Reservoir, ChonBuri",B,song,Aladdin,2020-05-19,0:35,https://xeno-canto.org/559644,XC559644.mp3,Ya
XC541311,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Gombak District (near  Ampang), Selangor",B,song,Attan Akmar,2016-09-15,0:20,https://xeno-canto.org/541311,XC541311.mp3,Ya
XC537518,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Kecamatan Kandis, Siak, Riau",B,call,Advento,2019-02-27,0:13,https://xeno-canto.org/537518,XC537518.mp3,Ya
XC528907,Geopelia striata,Perkutut Jawa,Zebra Dove,Singapore,"West Coast Area, Singapore",B,call,Okamoto Keita Sin,2018-04-21,3:19,https://xeno-canto.org/528907,XC528907.mp3,Ya
XC522909,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Lingga River nr bridge, Alor Gajah District (near  Kuala Sungai Baru), Malacca",B,song,Frank Lambert,2020-01-23,2:04,https://xeno-canto.org/522909,XC522909.mp3,Ya
XC462874,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"SS 22, Petaling Jaya, Selangor",B,call,Salocin.TEN,2019-03-23,0:38,https://xeno-canto.org/462874,XC462874.mp3,Ya
XC461650,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"ตำบล บางม่วง, อำเภอ ตะกั่วป่า, พังงา",B,call,Stephan Risch,2019-02-14,0:09,https://xeno-canto.org/461650,XC461650.mp3,Ya
XC447638,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Mae Win, อำเภอ แม่วาง, Chang Wat Chiang Mai",B,song,Albert Lastukhin,2018-11-18,0:40,https://xeno-canto.org/447638,XC447638.mp3,Ya
XC445754,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Sibu Lake Garden, Bahagian Sibu, Sarawak",B,song,Hobart WQH,2018-12-12,0:15,https://xeno-canto.org/445754,XC445754.mp3,Ya
XC439488,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",B,"call, song, display call or song",Hobart WQH,2018-10-20,0:14,https://xeno-canto.org/439488,XC439488.mp3,Ya
XC434900,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Bangkok, Krung Thep Maha Nakhon",B,song,Greg Irving,2018-09-20,2:44,https://xeno-canto.org/434900,XC434900.mp3,Ya
XC434301,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Stapok area of Batu Kawa, Bahagian Kuching, Sarawak",B,song,Hobart WQH,2018-09-16,0:20,https://xeno-canto.org/434301,XC434301.mp3,Ya
XC404001,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"La Digue, La Digue",B,song,Ross Gallardy,2017-10-26,0:14,https://xeno-canto.org/404001,XC404001.mp3,Ya
XC400874,Geopelia striata,Perkutut Jawa,Zebra Dove,France,"Kiosques de Bras-Long, Entre-Deux, Reunion Island",B,song,Cedric Mroczko,2017-09-24,0:13,https://xeno-canto.org/400874,XC400874.mp3,Ya
XC397190,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Sai Ma, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi",B,"call, investigative",Werzik,2017-12-28,0:45,https://xeno-canto.org/397190,XC397190.mp3,Ya
XC382147,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Lampang, Mueang Lampang District, Lampang",B,song,Somkiat Pakapinyo (Chai),2017-08-06,0:09,https://xeno-canto.org/382147,XC382147.mp3,Ya
XC364380,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Pun-Pun Organic Farm, Amphoe Mae Taeng, Chang Wat Chiang Mai",B,song,Eric DeFonso,2016-01-19,0:04,https://xeno-canto.org/364380,XC364380.mp3,Ya
XC360136,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Mueang Kao, Amphoe Mueang Sukhothai, Chang Wat Sukhothai",B,song,Bernard BOUSQUET,2017-01-27,0:21,https://xeno-canto.org/360136,XC360136.mp3,Ya
XC352051,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Malaysian Rubber Research Institute, Selangor",B,"call, song",Greg Irving,2017-01-16,1:53,https://xeno-canto.org/352051,XC352051.mp3,Ya
XC348091,Geopelia striata,Perkutut Jawa,Zebra Dove,Thailand,"Tambon Khao Khram, Amphoe Mueang Krabi, Chang Wat Krabi",B,song,Tero Linjama,2008-12-22,0:21,https://xeno-canto.org/348091,XC348091.mp3,Ya
XC347813,Geopelia striata,Perkutut Jawa,Zebra Dove,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,call,Derek Paulo,2016-12-11,0:18,https://xeno-canto.org/347813,XC347813.mp3,Ya
XC347812,Geopelia striata,Perkutut Jawa,Zebra Dove,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,call,Derek Paulo,2016-12-10,0:18,https://xeno-canto.org/347812,XC347812.mp3,Ya
XC347811,Geopelia striata,Perkutut Jawa,Zebra Dove,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,call,Derek Paulo,2016-11-27,0:44,https://xeno-canto.org/347811,XC347811.mp3,Ya
XC345584,Geopelia striata,Perkutut Jawa,Zebra Dove,Philippines,"Puerto Galera, Oriental Mindoro, MIMAROPA",B,song,Albert Lastukhin &amp; Yuri Glushchenko,2016-10-20,0:10,https://xeno-canto.org/345584,XC345584.mp3,Ya
XC342490,Geopelia striata,Perkutut Jawa,Zebra Dove,Philippines,"CPAC, Murcia, Negros Occidental, Western Visayas",B,call,Derek Paulo,2016-02-11,0:20,https://xeno-canto.org/342490,XC342490.mp3,Ya
XC328022,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Makawao, Maui County, Hawaii",B,"call, song",Thomas G. Graves,2016-06-13,4:55,https://xeno-canto.org/328022,XC328022.mp3,Ya
XC307402,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,Forest Research Institute Malaysia FRIM,B,song,Paulo Alves,2015-08-02,0:11,https://xeno-canto.org/307402,XC307402.mp3,Ya
XC304320,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"KSNP; Kuala Selangor, Selangor",B,call,Benj Smelt ,2016-01-05,0:04,https://xeno-canto.org/304320,XC304320.mp3,Ya
XC303939,Geopelia striata,Perkutut Jawa,Zebra Dove,Vietnam,"tx. Ninh Hòa, Khánh Hòa",B,song,Albert Lastukhin &amp; Yuri Glushchenko,2016-01-08,0:10,https://xeno-canto.org/303939,XC303939.mp3,Ya
XC302526,Geopelia striata,Perkutut Jawa,Zebra Dove,Vietnam,"Natural Heritage Area Trang, Diên Khánh, Khánh Hòa",B,song,Albert Lastukhin &amp; Yuri Glushchenko,2016-01-08,0:44,https://xeno-canto.org/302526,XC302526.mp3,Ya
XC290487,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Selangor, Selangor",B,song,Peter Boesman,2014-06-09,0:14,https://xeno-canto.org/290487,XC290487.mp3,Ya
XC290486,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Selangor, Selangor",B,song,Peter Boesman,2014-06-09,0:18,https://xeno-canto.org/290486,XC290486.mp3,Ya
XC290485,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Selangor, Selangor",B,song,Peter Boesman,2014-06-08,0:25,https://xeno-canto.org/290485,XC290485.mp3,Ya
XC240597,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,"Bakan, Pursat",B,"call, song",Mike Nelson,2015-02-11,0:23,https://xeno-canto.org/240597,XC240597.mp3,Ya
XC205818,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Kuliou'ou trail, Oahu, Hawaii",B,"call, sound from flushing",Ross Gallardy,2014-12-07,0:03,https://xeno-canto.org/205818,XC205818.mp3,Ya
XC203389,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Curepipe, Plaines Wilhems",B,"call, song",Albert Lastukhin &amp; Alexandr Shirjaev,2014-11-18,1:07,https://xeno-canto.org/203389,XC203389.mp3,Ya
XC203258,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Kaneohe, Honolulu County, Hawaii",B,song,Ross Gallardy,2014-11-21,0:40,https://xeno-canto.org/203258,XC203258.mp3,Ya
XC198974,Geopelia striata,Perkutut Jawa,Zebra Dove,Mauritius,"Port Louis, Port Louis, Port Louis",B,song,Albert Lastukhin &amp; Alexandr Shirjaev,2014-10-16,0:15,https://xeno-canto.org/198974,XC198974.mp3,Ya
XC192181,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Selangor, Selangor",B,call,Mike Nelson,2014-07-24,0:31,https://xeno-canto.org/192181,XC192181.mp3,Ya
XC192180,Geopelia striata,Perkutut Jawa,Zebra Dove,Malaysia,"Kuala Selangor, Selangor",B,call,Mike Nelson,2014-07-24,0:06,https://xeno-canto.org/192180,XC192180.mp3,Ya
XC175520,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Waikoloa Village, Big Island, Hawaii",B,"call, song",Dan Lane,2014-04-13,2:52,https://xeno-canto.org/175520,XC175520.mp3,Ya
XC175251,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Kilauea Lodge, Volcano NP, Hawai'i (Big Island), HA",B,"call, song",Dan Lane,2014-04-11,0:57,https://xeno-canto.org/175251,XC175251.mp3,Ya
XC175250,Geopelia striata,Perkutut Jawa,Zebra Dove,United States,"Waikoloa Village, Big Island, Hawaii",B,song,Dan Lane,2014-04-11,0:40,https://xeno-canto.org/175250,XC175250.mp3,Ya
XC157267,Geopelia striata,Perkutut Jawa,Zebra Dove,Cambodia,"Chhrieave, nr Siem Reap",B,song,Frank Lambert,2013-03-13,0:24,https://xeno-canto.org/157267,XC157267.mp3,Ya
XC151610,Geopelia striata,Perkutut Jawa,Zebra Dove,Indonesia,"Serangan island (center), Bali",B,song,Bruno Durand,2013-10-16,1:42,https://xeno-canto.org/151610,XC151610.mp3,Ya
XC100269,Geopelia striata,Perkutut Jawa,Zebra Dove,Seychelles,"Baie Beau Vallon, Mahe, Seychelles",B,song,Rory Nefdt,2012-04-22,0:36,https://xeno-canto.org/100269,XC100269.mp3,Ya
